val-aux/beyondaime/reward/std@8,val-aux/brumo25/reward/best@4/mean,val-aux/hmmt25/reward/worst@8/std,timing_s/old_log_prob_pre,val-aux/num_turns/min,prompt_length/min,val-aux/beyondaime/reward/worst@8/std,val-aux/beyondaime/reward/worst@4/mean,val-aux/hmmt25/reward/best@2/std,timing_s/update_actor,val-aux/aime25/reward/best@4/mean,val-aux/hmmt25/reward/std@8,response_length/min,timing_s/agent_loop/generate_sequences/max,response_length/max,val-aux/brumo25/reward/worst@2/std,val-aux/hmmt25/reward/best@2/mean,val-aux/aime24/reward/worst@2/mean,val-core/beyondaime/reward/best@8/mean,perf/max_memory_reserved_gb,timing_s/adv,val-aux/aime25/reward/worst@4/std,perf/time_per_step,timing_s/agent_loop/slowest/generate_sequences,val-aux/aime24/reward/worst@8/std,timing_s/start_profile,perf/max_memory_allocated_gb,val-aux/beyondaime/reward/best@2/mean,val-core/aime24/reward/best@8/std,val-aux/aime24/reward/best@2/mean,val-aux/num_turns/mean,prompt_length/mean,val-core/avg/reward/mean@8,val-aux/beyondaime/reward/best@2/std,val-core/avg/reward/best@8/std,num_turns/min,val-aux/aime25/reward/best@4/std,actor/entropy,val-core/hmmt25/reward/best@8/mean,timing_s/agent_loop/tool_calls/mean,critic/score/mean,response/aborted_ratio,val-aux/aime24/reward/best@4/mean,perf/total_num_tokens,val-aux/aime25/reward/std@8,response_length_non_aborted/mean,val-aux/hmmt25/reward/best@4/std,val-aux/beyondaime/reward/worst@8/mean,val-aux/aime24/reward/worst@4/std,critic/rewards/mean,timing_s/agent_loop/tool_calls/max,val-aux/hmmt25/reward/worst@4/mean,actor/grad_norm,timing_per_token_ms/gen,critic/returns/min,val-aux/hmmt25/reward/worst@8/mean,response_length/mean,val-aux/brumo25/reward/worst@4/std,critic/rewards/min,val-aux/aime24/reward/best@2/std,val-aux/hmmt25/reward/worst@2/std,val-aux/aime25/reward/worst@2/mean,val-core/aime25/reward/mean@8,timing_s/agent_loop/slowest/tool_calls,timing_s/save_checkpoint,timing_s/agent_loop/generate_sequences/mean,val-aux/beyondaime/reward/worst@2/std,val-aux/brumo25/reward/worst@4/mean,perf/throughput,prompt_length/max,val/generations,val-aux/brumo25/reward/best@2/std,val-aux/brumo25/reward/best@4/std,val-aux/brumo25/reward/worst@8/mean,val-core/aime25/reward/best@8/std,val-core/hmmt25/reward/best@8/std,distill/teacher_kl,critic/rewards/max,val-aux/aime24/reward/worst@4/mean,timing_per_token_ms/update_actor,val-aux/aime25/reward/worst@2/std,timing_s/gen,val-aux/aime24/reward/worst@8/mean,timing_s/step,response_length_non_aborted/min,val-aux/num_turns/max,val-aux/beyondaime/reward/best@4/std,val-aux/aime24/reward/best@4/std,val-aux/beyondaime/reward/worst@2/mean,val-aux/brumo25/reward/worst@2/mean,val-aux/beyondaime/reward/best@4/mean,val-aux/brumo25/reward/best@2/mean,val-aux/brumo25/reward/worst@8/std,critic/advantages/min,response_length_non_aborted/max,perf/cpu_memory_used_gb,critic/returns/max,perf/mfu/actor,critic/returns/mean,val-core/aime24/reward/best@8/mean,timing_s/agent_loop/slowest/response_length,critic/advantages/max,val-core/aime25/reward/best@8/mean,val-core/beyondaime/reward/best@8/std,adv/mean,timing_s/agent_loop/tool_calls/min,actor/is_ratio_mean,val-core/brumo25/reward/mean@8,num_turns/max,val-core/brumo25/reward/best@8/mean,critic/score/max,val-aux/aime24/reward/worst@2/std,timing_s/testing,actor/lr,response_length_non_aborted/clip_ratio,actor/pg_loss,timing_s/agent_loop/slowest/prompt_length,val-aux/hmmt25/reward/best@4/mean,_runtime,training/epoch,timing_per_token_ms/adv,val-aux/hmmt25/reward/worst@2/mean,response_length/clip_ratio,timing_s/stop_profile,val-aux/aime25/reward/worst@8/std,val-aux/aime25/reward/best@2/std,val-aux/beyondaime/reward/worst@4/std,critic/score/min,val-aux/brumo25/reward/std@8,val-core/hmmt25/reward/mean@8,val-core/avg/reward/best@8/mean,val-aux/hmmt25/reward/worst@4/std,val-aux/aime25/reward/best@2/mean,_step,val-aux/aime25/reward/worst@8/mean,val-core/beyondaime/reward/mean@8,num_turns/mean,training/global_step,timing_s/agent_loop/generate_sequences/min,timing_s/reward,val-aux/aime25/reward/worst@4/mean,critic/advantages/mean,_timestamp,prompt_length/clip_ratio,val-core/aime24/reward/mean@8,val-core/brumo25/reward/best@8/std,val-aux/aime24/reward/std@8
0.051218404059672235,0.24726666666666663,0.0,,2.0,,0.004146396478201282,0.00515,0.0,,0.18456666666666666,0.0,,,,0.11042887427319885,0.0,0.02936666666666667,0.10228,,,0.02147742224044808,,,0.004397232465357753,,,0.06391,0.07126926438302875,0.12723333333333334,2.0,,0.06991666666666667,0.05101996696162128,0.04881604835185581,,0.1321201423474224,,0.0,,,,0.18283333333333332,,0.12020122264949601,,0.0,0.00036,0.028392393167279886,,,0.0,,,,0.0,,0.08610812313558529,,0.12018268464407907,0.0,0.0211,0.07083333333333333,,,,0.0366110498478501,0.05963333333333333,,,"{'_latest_artifact_path': 'wandb-client-artifact://l7wyvqz9z1pqi1sojfv7jkpoz4l1rz0cgqsckuv5ezpgj737vtd484vzvbdr5a2wk1ihho6j7sve9bleaqx5s4mrcm802ugizesk72d2jvf33etxavnxw8bvcscokycr:latest/val/generations.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '86e16e0784a987e3adf91243f1a89261e3acb96f17cec2631020afab70227763', '_type': 'table-file', 'ncols': 31, 'nrows': 1, 'size': 31541, 'path': 'media/table/val/generations_0_86e16e0784a987e3adf9.table.json', 'artifact_path': 'wandb-client-artifact://ormi3v81hqudbaal4e0j32txrfs17ftd1ufudgymxkzy6btpuglyhep6vw3noxntojjqvo8kqqjn0o15odkqudizf27lz7n9q6k7t69q7gj3p2uma1oj8w5gwe3wwkyz/val/generations.table.json'}",0.09992200252202378,0.06588965183561145,0.022699999999999998,0.10055638705919691,0.0,,,0.006066666666666666,,0.06627320553575052,,0.00030000000000000003,,,2.0,0.04196004704533833,0.10458664313395592,0.01898,0.10719999999999999,0.0852,0.2095,0.0528091100459431,,,,,,,0.22723333333333331,,,0.24426666666666666,0.028122801363688832,,,,0.15833333333333333,,0.2727333333333333,,0.07119413690258045,,,,,,0.0,492.444292112,,,0.0,,,0.0014892205269125785,0.13667936467540603,0.017968221628987494,,0.1236110155831342,0.0,0.16930266666666666,0.0,0.12163333333333333,0,6.666666666666667e-05,0.04125,,,,,0.0035333333333333336,,1765495445.2686093,,0.07916666666666666,0.04413178895336453,0.11311384266977649
,,,21.522086519002187,,36.0,,,,86.60233602399967,,,2.0,0.0,8192.0,,,,,161.033203125,0.5123621620004997,,300.60555429799933,0.0,,0.0003019210016645957,154.80209016799927,,,,,94.259765625,,,,2.0,,1.1275869607925415,,0.0,-508.2024230957031,0.0,,2807981.0,,1276.82470703125,,,,-508.2024230957031,0.0,,2.8985023498535156,0.0665724875088762,-27.70477867126465,,1276.82470703125,,-7185.9970703125,,,,,0.0,,0.0,,,2335.270389927962,269.0,,,,,,,0.39802053570747375,-30.34079360961914,,0.03084149644317382,,174.08286076899822,,300.60555429799933,2.0,,,,,,,,,-27.70477867126465,8192.0,325.888671875,4.498918056488037,0.10693067406611981,-6.652175255084103e-09,,228.0,4.498918056488037,,,-5.601831887247499e-09,0.0,1.0,,2.0,,-30.34079360961914,,,1e-06,0.0322265625,7.034513659576191e-05,102.0,,777.103375361,0.0,0.00018246639204485347,,0.0322265625,7.603199992445298e-05,,,,-7185.9970703125,,,,,,1,,,2.0,1.0,0.0,17.80042648000017,,-6.652175255084103e-09,1765495746.5241642,0.0,,,
,,,19.325189496001258,,34.0,,,,84.74432844699913,,,2.0,0.0,8192.0,,,,,167.830078125,0.5434808689969941,,284.47866283500116,0.0,,7.715199899394065e-05,161.4632978439331,,,,,100.365234375,,,,2.0,,1.1742918491363525,,0.0,-493.28607177734375,0.0,,2797639.0,,1265.66943359375,,,,-493.28607177734375,0.0,,2.8850879669189453,0.06307665231506149,-27.757749557495117,,1265.66943359375,,-4781.26611328125,,,,,0.0,,0.0,,,2458.566639163587,454.0,,,,,,,0.38974320888519287,-34.577667236328125,,0.030291373707257846,,163.50042277600005,,284.47866283500116,2.0,,,,,,,,,-27.757749557495117,8192.0,354.35400390625,6.680942535400391,0.10803185330755312,-5.50992496073377e-09,,4950.0,6.680942535400391,,,-7.911687305295345e-09,0.0,1.0,,2.0,,-34.577667236328125,,,1e-06,0.0283203125,7.803869706357602e-05,65.0,,1082.633212194,0.0,0.00019426411663441714,,0.0283203125,5.09450001118239e-05,,,,-4781.26611328125,,,,,,2,,,2.0,2.0,0.0,16.287444244000653,,-5.50992496073377e-09,1765496031.1829028,0.0,,,
,,,22.58941457400215,,38.0,,,,88.70775375000085,,,2.0,0.0,8192.0,,,,,171.08984375,0.5815826789985294,,305.3742353029993,0.0,,4.585699934978038e-05,164.76506805419922,,,,,98.34375,,,,2.0,,1.3243032693862915,,0.0,-535.23193359375,0.0,,2997271.0,,1365.16748046875,,,,-535.23193359375,0.0,,2.9028167724609375,0.06288335002644979,-28.06344223022461,,1365.16748046875,,-5674.7900390625,,,,,0.0,,0.0,,,2453.7687315254666,342.0,,,,,,,0.3920632004737854,-32.58397674560547,,0.029596173902860585,,175.81323165499998,,305.3742353029993,2.0,,,,,,,,,-28.06344223022461,8192.0,368.85675048828125,5.8641157150268555,0.11276893571368128,-1.0085702051298995e-08,,2746.0,5.8641157150268555,,,-1.0827940322144514e-08,0.0,1.0,,2.0,,-32.58397674560547,,,1e-06,0.0400390625,7.80158557482924e-05,78.0,,1418.044389377,0.0,0.00019403740235652013,,0.0400390625,4.7039997298270464e-05,,,,-5674.7900390625,,,,,,3,,,2.0,3.0,0.0,17.603167795001355,,-1.0085702051298995e-08,1765496336.713021,0.0,,,
,,,21.651223961998767,,37.0,,,,104.75209844399797,,,2.0,0.0,8192.0,,,,,171.08984375,0.5850243090026197,,335.257172136,0.0,,3.398399712750688e-05,164.76506805419922,,,,,94.162109375,,,,2.0,,1.3137954473495483,,0.0,-552.3427124023438,0.0,,3173164.0,,1455.234375,,,,-552.3427124023438,0.0,,2.895620584487915,0.06366307161378612,-27.86304473876953,,1455.234375,,-10142.78125,,,,,0.0,,0.0,,,2366.216343548333,541.0,,,,,,,0.379555881023407,-36.28102111816406,,0.03301187661400355,,189.73632559199905,,335.257172136,2.0,,,,,,,,,-27.86304473876953,8192.0,357.5379638671875,5.394039630889893,0.10185350079190353,2.7401432234341883e-08,,582.0,5.394039630889893,,,2.91626616188978e-08,0.0,1.0,,2.0,,-36.28102111816406,,,1e-06,0.04296875,5.4128456007163095e-05,115.0,,1789.71657069,0.0,0.00018436623792612663,,0.04296875,4.991999958292581e-05,,,,-10142.78125,,,,,,4,,,2.0,4.0,0.0,18.444867484002316,,2.7401432234341883e-08,1765496672.124266,0.0,,,
,,,26.540011393000896,,40.0,,,,108.02620703600041,,,1.0,0.0,8192.0,,,,,172.888671875,0.5562885879990063,,371.48516586700134,0.0,,3.372799983480945e-05,166.62229681015015,,,,,97.326171875,,,,2.0,,1.4049806594848633,,0.0,-609.3461303710938,0.0,,3515516.0,,1619.234375,,,,-609.3461303710938,0.0,,2.8625128269195557,0.06508574325008924,-28.37343406677246,,1619.234375,,-10363.40625,,,,,0.0,,0.0,,,2365.8522082538693,494.0,,,,,,,0.37631747126579285,-22.943859100341797,,0.030728407162988424,,215.83682107999994,,371.48516586700134,1.0,,,,,,,,,-28.37343406677246,8192.0,375.43292236328125,5.809391975402832,0.11249472812928571,8.687251806804852e-09,,3562.0,5.809391975402832,,,8.245526927908031e-09,0.0,1.0,,2.0,,-22.943859100341797,,,1e-06,0.0634765625,0.0001111588436231159,84.0,,2177.1299201,0.0,0.00015823810444868014,,0.0634765625,5.0016002205666155e-05,,,,-10363.40625,,,,,,5,,,2.0,5.0,0.0,20.425991131996852,,8.687251806804852e-09,1765497043.7964509,0.0,,,
,,,27.120609564000915,,35.0,,,,113.43543363500066,,,2.0,0.0,8192.0,,,,,172.888671875,0.4902966350018687,,387.22627971399925,0.0,,3.6959998396923766e-05,166.62229681015015,,,,,95.72265625,,,,2.0,,1.2776339054107666,,0.0,-630.2527465820312,0.0,,3807541.0,,1763.42822265625,,,,-630.2527465820312,0.0,,2.9076600074768066,0.06207843038005472,-31.294282913208008,,1763.42822265625,,-9981.466796875,,,,,0.0,,0.0,,,2458.2144856052932,742.0,,,,,,,0.35740193724632263,-35.5369987487793,,0.029792307853021324,,224.196313395998,,387.22627971399925,2.0,,,,,,,,,-31.294282913208008,8192.0,375.94976806640625,6.736159801483154,0.11796000454901771,-2.8358567050190686e-08,,925.0,6.736159801483154,,,-2.7851561057445906e-08,0.0,1.0,,2.0,,-35.5369987487793,,,1e-06,0.072265625,0.0001092025716253886,78.0,,2588.834903792,0.0,0.00012876988980601095,,0.072265625,4.758400245918892e-05,,,,-9981.466796875,,,,,,6,,,2.0,6.0,0.0,21.868100573999982,,-2.8358567050190686e-08,1765497431.2097986,0.0,,,
,,,31.71710249899843,,39.0,,,,113.31340880399875,,,2.0,0.0,8192.0,,,,,174.1171875,0.6248011940006108,,411.5151265580025,0.0,,3.4495998988859355e-05,167.88930130004883,,,,,95.259765625,,,,2.0,,1.4448009729385376,,0.0,-654.864501953125,0.0,,3990797.0,,1853.37158203125,,,,-654.864501953125,0.0,,2.7552638053894043,0.06398701781039351,-28.49222755432129,,1853.37158203125,,-5707.162109375,,,,,0.0,,0.0,,,2424.4534055041004,306.0,,,,,,,0.3533368706703186,-38.037933349609375,,0.02839367895786199,,242.87584343799972,,411.5151265580025,2.0,,,,,,,,,-28.49222755432129,8192.0,382.6278076171875,6.719576835632324,0.12499152423287489,-3.087371025500829e-09,,1067.0,6.719576835632324,,,-2.57280929893966e-09,0.0,1.0,,2.0,,-38.037933349609375,,,1e-06,0.08544921875,7.392047877630148e-05,96.0,,2979.15599059,0.0,0.00015656050508222063,,0.08544921875,4.665700180339627e-05,,,,-5707.162109375,,,,,,7,,,2.0,7.0,0.0,22.864384372998757,,-3.087371025500829e-09,1765497842.9148593,0.0,,,
,,,28.76910353600033,,36.0,,,,111.86350875700009,,,2.0,0.0,8192.0,,,,,174.1171875,0.5968691529997159,,390.12253983100163,0.0,,4.918500053463504e-05,167.88930130004883,,,,,98.396484375,,,,2.0,,1.2719900608062744,,0.0,-619.286865234375,0.0,,3873202.0,,1792.8154296875,,,,-619.286865234375,0.0,,2.7725565433502197,0.061511148973251176,-30.452869415283203,,1792.8154296875,,-6836.75537109375,,,,,0.0,,0.0,,,2482.041925645878,484.0,,,,,,,0.3454269766807556,-37.42036056518555,,0.02888140323097016,,225.84962452900072,,390.12253983100163,2.0,,,,,,,,,-30.452869415283203,8192.0,370.8714599609375,5.667141437530518,0.12208346433100505,-7.630046816586855e-09,,525.0,5.667141437530518,,,-6.915249706196391e-09,0.0,1.0,,2.0,,-37.42036056518555,,,1e-06,0.07861328125,0.00012553579680707472,87.0,,3476.45724552,0.0,0.00015410225260642637,,0.07861328125,4.7615998482797295e-05,,,,-6836.75537109375,,,,,,8,,,2.0,8.0,0.0,22.917932264001138,,-7.630046816586855e-09,1765498233.2357814,0.0,,,
,,,36.922020951999,,37.0,,,,132.72889349899924,,,2.0,0.0,8192.0,,,,,178.119140625,0.6080399669990584,,497.0949042680004,0.0,,4.2496998503338546e-05,171.76861667633057,,,,,96.2265625,,,,2.0,,0.9555197358131409,,0.0,-681.0059814453125,0.0,,5277328.0,,2480.59375,,,,-681.0059814453125,0.0,,2.285956859588623,0.05857697021764274,-32.25110626220703,,2480.59375,,-12410.25,,,,,0.0,,0.0,,,2654.084740504007,1533.0,,,,,,,0.2745334506034851,3072.06787109375,,0.025150775828032528,,297.5860044100009,,497.0949042680004,2.0,,,,,,,,,-32.25110626220703,8192.0,398.41619873046875,11.873983383178711,0.14651836819961556,-1.614706945929356e-08,,1332.0,11.873983383178711,,,-1.614706945929356e-08,0.0,1.0,,2.0,,3072.06787109375,,,1e-06,0.1484375,5.96568340860415e-05,123.0,,4944.551466147,0.0,0.00011521739164195562,,0.1484375,5.923299977439456e-05,,,,-12410.25,,,,,,9,,,2.0,9.0,0.0,29.127119961998687,,-1.614706945929356e-08,1765498730.5370688,0.0,,,
